web-scraper-order,web-scraper-start-url,select,select-href,pagination,prod,prod-href,dispo,gtin,marque,gamme,gamer,systeme,taille_ecran,resolution,processeur,type_processeur,ref_proc,freq_processeur,memoire_cache,ram,disque_dur,type_disk,carte_graphic,chipset_carte,connectors,couleur,grantie,prix
"1683666747-157","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable ASUS Vivobook 15 X1502ZA i3 12è Gén 8Go 256Go SSD - Silver","https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502za-i3-12e-gen-8go-256go-ssd-silver.html","En stock","X1502ZA-BQ829W-8G","ASUS","VIVOBOOK 15 X1502ZA","Non","","","1920 x 1080 pixels","Intel Core i3","Hexa Core","Intel® Core™ i3-1215U","Up to 4,40 GHz Turbo max","10 Mo","8 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4, 1x Prise audio combinée 3,5 mm, 1x Entrée CC","Silver","1 an","1 215,000 DT"
"1683666750-158","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable ASUS X515JA i3 10è Gén 4Go 512Go SSD - Silver","https://www.mytek.tn/pc-portable-asus-x515ja-i3-10e-gen-4go-512go-ssd-silver.html","En stock","X515JA-BR3991","ASUS","X515JA","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","4 Go","512Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1 x HDMI 1.4, 1x Casque/Casque, 1 x prise audio combo de 3,5 mm","Silver","1 an","1 209,000 DT"
"1683666753-159","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","Pc Portable ACER Aspire 3 A315-56 i5 10è Gén 4Go 1To - Noir","https://www.mytek.tn/pc-portable-acer-aspire-3-a315-56-i5-10e-gen-4go-1to-noir-nx-hs5ef-01w.html","En stock","NX.HS5EF.01W","ACER","ASPIRE 3","Non","","","1920 x 1080 pixels","Intel Core i5","Quad Core","Intel Core i5-1035G1","1,00 GHz up to 3,60 GHz Turbo max","6 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","2x USB 2.0, 1x USB 3.1 Gen 1, 1x HDMI, 1x RJ-45, 1 jack combo audio / micro 3,5mm","Noir","1 an","Prix spécial 1 205,000 DT      Ancien prix 1 495,000 DT  -290DT"
"1683666756-160","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","Pc Portable ACER Aspire 3 A315 i5 4Go 1To Rouge (NX.HS7EF.00P)","https://www.mytek.tn/pc-portable-acer-aspire-3-a315-56-i5-10e-gen-4go-1to-rouge-nx-hs7ef-00p.html","En stock","NX.HS7EF.00P","ACER","ASPIRE 3","Non","","","1920 x 1080 pixels","Intel Core i5","Quad Core","Intel Core i5-1035G1","1,00 GHz up to 3,60 GHz Turbo max","6 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","2x USB 2.0, 1x USB 3.1 Gen 1, 1x HDMI, 1x RJ-45, 1 jack combo audio / micro 3,5mm","Rouge","1 an","Prix spécial 1 205,000 DT      Ancien prix 1 495,000 DT  -290DT"
"1683666759-161","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable HP 15-dw3078nk i3 11è Gén 12Go 256Go SSD - Gris","https://www.mytek.tn/pc-portable-hp-15-dw3078nk-i3-11e-gen-12go-256go-ssd-gris.html","En stock","6F954EA-12G","HP","15-DW3078NK","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3,00 GHz up to 4.10 GHz Turbo max","6 Mo","12 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1x RJ-45, 1 prise combinée casque/microphone, 1 prise secteur Smart Pin","Gris","1 an","1 205,000 DT"
"1683666762-162","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","Pc Portable DELL Vostro 3510 i3 11è Gén 32Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-32go-1to-noir.html","En stock","735775-3510-32G","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3,00 GHz Up to 4,10 GHz Turbo max","6 Mo","32 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x USB 2.0, 1x HDMI 1.4, 1x RJ45,1x prise jack audio","Noir","1 an","Prix spécial 1 199,000 DT      Ancien prix 1 229,000 DT  -30DT"
"1683666765-163","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable HP 15-dw3079nk i3 11è Gén 8Go 256Go SSD - Noir","https://www.mytek.tn/pc-portable-hp-15-dw3079nk-i3-11e-gen-8go-256go-ssd-noir.html","Epuisé","6F955EA-8G","HP","15-DW3079NK","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3,00 GHz up to 4.10 GHz Turbo max","6 Mo","8 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1x RJ-45, 1 prise secteur Smart Pin, 1 prise combinée casque/microphone","Noir","1 an","1 195,000 DT"
"1683666768-164","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable LENOVO V15 G2 ITL i3 11é Gén 8Go 1To + 256Go SSD - Noir","https://www.mytek.tn/pc-portable-lenovo-v15-g2-itl-i3-11e-gen-8go-1to-256go-ssd-noir.html","En stock","82KB0021FE-8G-256SSD","LENOVO","V15 G2 ITL","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","8 Go","1To + 256Go SSD","SSD + HDD","Graphique Intégrée","Intel UHD","1xUSB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1xRJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation","Noir","1 an","Prix spécial 1 195,000 DT      Ancien prix 1 579,000 DT  -384DT"
"1683666771-165","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","Pc Portable DELL Vostro 3400 i3 11è Gén 32Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3400-i3-11e-gen-32go-1to-noir.html","En stock","N6004VN3400EMEA01-32G","DELL","VOSTRO 3400","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","32 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","1x USB 2.0 Type-A, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4,1x RJ-45, 1 prise jack pour casque 3.5 mm","Noir","1 an","1 189,000 DT"
"1683666774-166","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 20Go 256Go SSD - Sable","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15itl6-i3-11e-gen-20go-256go-ssd-sable.html","En stock","82H802M4FG-20G","LENOVO","IDEAPAD 3","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","20 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Sable","1 an","1 189,000 DT"
"1683666777-167","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable LENOVO V15 G2 ITL i3 11é Gén 12Go 1To - Noir","https://www.mytek.tn/pc-portable-lenovo-v15-g2-itl-i3-11e-gen-12g-1to-noir.html","En stock","82KB0021FE-12G","LENOVO","V15 G2","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","12 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1xUSB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1xRJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation","Noir","1 an","1 189,000 DT"
"1683666780-168","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable ASUS D515DA AMD RYZEN 3 20Go 512Go SSD - Gris","https://www.mytek.tn/pc-portable-asus-d515da-amd-ryzen-3-20go-512go-ssd-gris.html","En stock","D515DA-EJ1576W-20G","ASUS","D515DA","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Dual Core","AMD Ryzen™ 3 3250U","2.6 GHz up to 3.5 GHz Turbo max","4 Mo","20 Go","512Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x prise audio combo 3,5 mm, Lecteur de carte micro SD","Gris","1 an","1 189,000 DT"
"1683666783-169","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable ASUS D515DA AMD RYZEN 3 20Go 512Go SSD - Bleu","https://www.mytek.tn/pc-portable-asus-d515da-amd-ryzen-3-20go-512go-ssd-bleu.html","En stock","D515DA-EJ1577W-20G","ASUS","D515DA","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Dual Core","AMD Ryzen™ 3 3250U","2.6 GHz up to 3.5 GHz Turbo max","4 Mo","20 Go","512Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x prise audio combo 3,5 mm, Lecteur de carte micro SD","Bleu","1 an","1 189,000 DT"
"1683666786-170","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","Pc Portable DELL Vostro 3510 i3 11è Gén 12Go 256Go SSD - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-12g-256go-ssd-noir.html","En stock","BU-3510-I3-256SSD-12G-W10P","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","12 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1xUSB-C 3.2 Gen 1, 1xUSB 2.0, 1x HDMI 1.4, 1x RJ45,1xprise jack audio","Noir","1 an","1 189,000 DT"
"1683666789-171","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","Pc Portable DELL Vostro 3510 i3 11è Gén 24Go 256Go SSD - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-24go-256go-ssd-noir.html","En stock","3510-I3-256SSD-24G","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","24 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1xUSB-C 3.2 Gen 1, 1xUSB 2.0, 1x HDMI 1.4, 1x RJ45,1xprise jack audio","Noir","1 an","Prix spécial 1 179,000 DT      Ancien prix 1 429,000 DT  -250DT"
"1683666792-172","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable LENOVO V15 IML i3 10è Gén 20Go 256Go SSD - Gris","https://www.mytek.tn/pc-portable-lenovo-v15-iml-i3-10e-gen-20go-256go-ssd-gris-82nb001kfe-20g.html","En stock","82NB001KFE-20G","LENOVO","V15 IML","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-10110U","2,10 GHz up to 4,10 GHz Turbo max","4 Mo","20 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1xUSB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Gris","1 an","Prix spécial 1 179,000 DT      Ancien prix 1 219,000 DT  -40DT"
"1683666795-173","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable LENOVO IdeaPad 3 15ADA6 AMD RYZEN 3 8Go 512Go SSD - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15ada6-amd-ryzen-3-8go-512go-ssd-bleu.html","En arrivage","82KR001FFE-2Y","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Dual Core","AMD Ryzen™ 3 3250U","2.6 GHz up to 3.5 GHz Turbo max","4 Mo","8 Go","512Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Bleu","2 ans","1 179,000 DT"
"1683666798-174","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable LENOVO V15 G2 ITL i3 11è Gén 12Go 256Go SSD - Noir","https://www.mytek.tn/pc-portable-lenovo-v15-g2-itl-i3-11e-gen-12g-256go-ssd-noir.html","En arrivage","BU-82KB0001FE-12G","LENOVO","V15 G2","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","12 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1 port USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1xRJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation","Noir","1 an","1 179,000 DT"
"1683666801-175","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=8","PC Portable LENOVO V15 AMD RYZEN 3 20Go 256Go SSD - Gris","https://www.mytek.tn/pc-portable-lenovo-v15-amd-ryzen-3-20g-256go-ssd-gris.html","En stock","BU-82C70093FE-20G","LENOVO","V15","Non","","","1366 x 768 pixels","AMD Ryzen 3","Dual Core","AMD Ryzen™ 3 3250U","2.6 GHz up to 3.5 GHz Turbo max","4 Mo","20 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Gris","1 an","1 179,000 DT"
"1683666809-176","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","Pc Portable ACER Aspire 3 A315-58 i5 11è Gén 8Go 1To - Rouge","https://www.mytek.tn/pc-portable-acer-aspire-3-a315-58-i5-11e-gen-8go-1to-rouge.html","En stock","NX.AL0EF.00L","ACER","ASPIRE 3","Non","","","1920 x 1080 pixels","Intel Core i5","Quad Core","Intel Core i5-1135G7","2.40 GHz up to 4.20 GHz Turbo max","8 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel Iris X","1x USB 2.0, 2 x USB 3.2 Gen 1, 1 jack combo Audio/micro compatible casque smartphone 3,5mm, 1 x RJ-45 1 x HDMI 2.0","Rouge","1 an","Prix spécial 1 299,000 DT      Ancien prix 1 499,000 DT  -200DT"
"1683666813-177","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","PC Portable HP 15-dw3048nk i3 11è Gén 8Go 1To - Gris","https://www.mytek.tn/pc-portable-hp-15-dw3048nk-i3-11e-gen-8go-1to-gris.html","En arrivage","600S0EA-8G","HP","15-dw3048nk","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1x RJ-45, 1 combo casque/micro, 1 AC smart pin","Gris","1 an","Prix spécial 1 289,000 DT      Ancien prix 1 339,000 DT  -50DT"
"1683666816-178","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","Pc Portable DELL Vostro 3510 i3 11è Gén 8G 256G SSD - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-8g-256g-ssd-noir.html","En stock","3510-I3-SSD","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","8 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x USB 2.0, 1x HDMI 1.4, 1x RJ45,1x prise jack audio","Noir","1 an","Prix spécial 1 289,000 DT      Ancien prix 1 329,000 DT  -40DT"
"1683666819-179","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","PC Portable ASUS X515JA i3 10è Gén 8Go 512Go SSD - Silver","https://www.mytek.tn/pc-portable-asus-x515ja-i3-10e-gen-8g-512g-ssd-silver.html","En stock","BU-X515JA-EJ2134W","ASUS","X515JA","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","8 Go","512Go SSD","SSD","Graphique Intégrée","Intel HD","1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1 x HDMI 1.4, 1x Casque/Casque, 1 x prise audio combo de 3,5 mm","Silver","1 an","Prix spécial 1 279,000 DT      Ancien prix 1 419,000 DT  -140DT"
"1683666822-180","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","PC Portable ASUS X515JA i3 10è Gén 8Go 512Go SSD - Gris","https://www.mytek.tn/pc-portable-asus-x515ja-i3-10e-gen-8g-512go-ssd-gris.html","En stock","BU-X515JA-EJ2481W","ASUS","X515JA","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","8 Go","512Go SSD","SSD","Graphique Intégrée","Intel HD","1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1 x HDMI 1.4, 1x Casque/Casque, 1 x prise audio combo de 3,5 mm","Gris","1 an","Prix spécial 1 279,000 DT      Ancien prix 1 409,000 DT  -130DT"
"1683666825-181","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","PC Portable LENOVO V15 G2 ITL i3 11è Gén 20Go 256Go SSD - Noir","https://www.mytek.tn/pc-portable-lenovo-v15-g2-itl-i3-11e-gen-20g-256go-ssd-noir.html","En arrivage","BU-82KB0001FE-20G","LENOVO","V15 G2","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","20 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1 port USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1xRJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation","Noir","1 an","1 279,000 DT"
"1683666828-182","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","PC Portable HP 15-dw3086nk i3 11è Gén 24Go 256Go SSD - Noir","https://www.mytek.tn/pc-portable-hp-15-dw3086nk-i3-11e-gen-24go-256go-ssd-noir.html","En stock","6U7Y0EA-24G","HP","15-dw3086nk","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","24 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone, 1x AC smart pin","Noir","1 an","Prix spécial 1 279,000 DT      Ancien prix 1 375,000 DT  -96DT"
"1683666831-183","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","PC Portable HP 15-dw3084nk i3 11è Gén 24Go 256Go SSD - Silver","https://www.mytek.tn/pc-portable-hp-15-dw3084nk-i3-11e-gen-24go-256go-ssd-silver.html","En arrivage","6U7X8EA-24G","HP","15-dw3084nk","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","24 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone, 1x AC smart pin","Silver","1 an","Prix spécial 1 279,000 DT      Ancien prix 1 375,000 DT  -96DT"
"1683666834-184","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","PC Portable HP 15-dw3085nk i3 11è Gén 24Go 256Go SSD - Gris","https://www.mytek.tn/pc-portable-hp-15-dw3085nk-i3-11e-gen-24go-256go-ssd-gris.html","En stock","6U7X9EA-24G","HP","15-dw3085nk","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","24 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone, 1x AC smart pin","Gris","1 an","Prix spécial 1 279,000 DT      Ancien prix 1 375,000 DT  -96DT"
"1683666838-185","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","PC Portable ASUS X515JA i3 10è Gén 12Go 512Go SSD - Silver","https://www.mytek.tn/pc-portable-asus-x515ja-i3-10e-gen-12go-512go-ssd-silver-x515ja-br3991-12g.html","En stock","X515JA-BR3991-12G","ASUS","X515JA","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","12 Go","512Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1 x HDMI 1.4, 1x Casque/Casque, 1 x prise audio combo de 3,5 mm","Silver","1 an","1 279,000 DT"
"1683666841-186","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","Pc Portable DELL Vostro 3510 i3 11è Gén 24Go 256Go SSD - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-24g-256go-ssd-noir.html","En stock","BU-3510-I3-256SSD-24G-W10P","DELL","VOSTRO 3510","Non","","","","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","24 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1xUSB-C 3.2 Gen 1, 1xUSB 2.0, 1x HDMI 1.4, 1x RJ45,1xprise jack audio","Noir","1 an","1 279,000 DT"
"1683666844-187","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=9","PC Portable ASUS X515JA i3 10è Gén 8Go 512Go SSD - Silver","https://www.mytek.tn/pc-portable-asus-x515ja-i3-10e-gen-8go-512go-ssd-silver.html","En stock","X515JA-EJ2134W","ASUS","X515JA","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","8 Go","512Go SSD","SSD","Graphique Intégrée","Intel HD","1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1 x HDMI 1.4, 1x Casque/Casque, 1 x prise audio combo de 3,5 mm","Silver","1 an","Prix spécial 1 269,000 DT      Ancien prix 1 409,000 DT  -140DT"
